sesi,durasi_s,jarak_m,v_awal,v_akhir,v_min,i_rata_gerak_a,i_rata_diam_a,i_maks_a,wh_total,wh_gerak,wh_diam,wh_per_m_gerak,w_rata_gerak,detik_otonom,sumber_arus
20260820_142601,184,6.8,49.6,49.6,49.1,6.31,2.99,29.3,9.24,3.19,6.05,0.469,310,46,eff(/joint_states)
20260820_142932,605,51.4,49.6,49.5,48.4,21.1,11.67,33.2,132.54,80.31,52.23,1.562,1040,372,eff(/joint_states)
20260820_144010,81,0.9,49.6,49.6,49.0,18.96,1.9,28.9,4.71,2.88,1.83,,943,0,eff(/joint_states)
20260820_144224,62,0.0,49.6,49.6,49.6,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260820_144351,186,6.8,49.6,49.6,49.0,16.38,7.22,30.2,23.76,9.44,14.33,1.388,809,0,eff(/joint_states)
20260820_144709,873,80.0,49.6,49.5,48.5,18.05,10.28,32.0,162.88,92.90,69.98,1.161,889,533,eff(/joint_states)
20260820_150216,1547,73.6,49.5,49.6,48.6,20.31,7.82,33.4,231.77,107.56,124.21,1.461,1001,568,eff(/joint_states)
20260820_152844,325,9.7,49.6,49.6,49.1,14.38,4.0,29.5,25.81,11.03,14.78,1.137,709,0,eff(/joint_states)
20260820_153416,1212,23.5,49.6,49.5,48.9,17.51,9.09,30.3,165.72,29.86,135.86,1.271,867,100,eff(/joint_states)
20260820_155549,1935,149.7,49.5,49.4,48.4,22.74,13.79,32.6,483.13,300.31,182.82,2.006,1119,1580,eff(/joint_states)
20260820_163345,270,5.5,49.5,49.4,49.1,15.88,14.02,27.9,52.40,6.22,46.18,1.131,772,0,eff(/joint_states)
20260820_163821,76,3.8,49.5,49.5,49.2,14.01,10.41,29.9,11.89,4.05,7.84,,694,0,eff(/joint_states)
20260820_163944,2114,120.5,49.5,49.5,48.5,16.54,6.65,30.1,281.02,148.25,132.78,1.230,814,1071,eff(/joint_states)
20260820_171616,373,16.4,49.5,49.5,48.9,16.62,3.59,31.6,34.06,20.06,14.00,1.223,821,110,eff(/joint_states)
20260820_172236,1018,29.5,49.5,49.5,48.9,16.83,2.64,30.8,69.45,38.74,30.71,1.313,830,241,eff(/joint_states)
20260820_173954,512,19.3,49.5,49.5,48.8,16.39,3.21,31.4,39.48,21.20,18.28,1.098,812,109,eff(/joint_states)
20260820_174833,459,31.5,49.5,49.5,48.7,18.07,7.58,31.9,71.16,40.73,30.43,1.293,889,219,eff(/joint_states)
20260820_175619,741,0.0,49.5,49.5,49.5,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260820_180846,494,24.9,49.5,49.5,48.8,16.61,5.44,32.6,57.05,30.31,26.74,1.217,814,184,eff(/joint_states)
20260821_100004,1007,0.0,50.1,50.1,50.0,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260821_101658,1020,0.0,50.1,50.1,50.1,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260821_103404,700,0.4,50.1,50.1,50.1,3.95,0.18,6.0,2.08,0.37,1.71,,,4,eff(/joint_states)
20260821_104549,2112,6.7,50.1,50.1,48.9,6.24,2.92,22.3,86.28,1.12,85.16,0.167,310,0,trq(/motor_torque)
20260821_112106,1984,178.9,50.1,50.1,48.6,17.58,15.48,33.4,435.00,85.94,349.06,0.480,876,0,trq(/motor_torque)
20260821_134640,55,0.0,49.7,50.1,49.7,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260821_134824,1336,46.3,50.1,50.1,49.1,19.77,4.87,33.4,161.17,94.14,67.03,2.033,985,185,eff(/joint_states)
20260821_141546,609,28.9,50.1,50.1,49.2,15.04,11.15,33.0,103.41,35.38,68.03,1.224,749,184,eff(/joint_states)
20260821_142602,2608,4.3,50.1,50.1,49.7,12.53,0.16,29.9,11.33,5.42,5.90,,630,12,eff(/joint_states)
20260821_150936,124,6.3,50.1,50.1,49.4,12.66,3.51,30.8,9.19,4.36,4.83,0.691,627,0,eff(/joint_states)
20260821_151147,116,9.0,50.1,50.1,49.5,13.47,11.13,32.4,19.64,10.12,9.52,1.124,675,0,eff(/joint_states)
20260821_151350,738,19.8,50.1,50.1,49.5,19.34,3.65,32.0,74.33,45.61,28.73,2.303,966,219,eff(/joint_states)
20260821_152613,330,14.6,50.1,49.8,49.3,18.96,7.29,30.2,49.74,26.65,23.09,1.825,950,147,eff(/joint_states)
20260821_153147,187,1.4,50.1,50.1,49.6,21.7,2.33,31.6,11.74,6.36,5.38,,1090,0,eff(/joint_states)
20260821_153745,97,7.0,50.1,50.1,49.3,14.28,7.48,31.8,13.38,6.95,6.43,0.992,715,31,eff(/joint_states)
20260821_153929,357,8.0,50.1,50.1,48.9,15.06,1.45,29.8,13.95,7.50,6.46,0.937,750,47,eff(/joint_states)
20260821_154532,239,2.2,50.1,50.1,49.6,18.64,1.01,32.1,7.13,4.00,3.14,,959,0,eff(/joint_states)
20260821_154938,371,18.8,50.1,50.1,49.3,18.39,10.43,30.0,67.24,31.63,35.61,1.682,918,171,eff(/joint_states)
20260821_155556,845,25.2,50.1,50.1,49.4,18.5,10.29,30.1,137.10,36.94,100.16,1.466,923,199,eff(/joint_states)
20260821_161007,141,0.4,50.1,50.1,50.0,3.92,0.16,6.5,0.48,0.17,0.32,,,0,eff(/joint_states)
20260821_161326,76,3.4,50.1,50.1,49.6,19.45,11.19,31.0,12.57,2.02,10.55,,,0,trq(/motor_torque)
20260821_161500,902,73.0,50.1,50.1,49.2,20.2,15.47,33.4,202.65,39.63,163.01,0.543,1005,0,trq(/motor_torque)
20260821_163010,54,1.3,50.1,50.0,49.6,19.23,11.92,32.0,9.77,2.21,7.56,,,0,eff(/joint_states)
20260821_163108,625,45.2,50.1,50.1,49.3,21.33,17.8,33.1,158.22,24.28,133.94,0.537,1066,0,trq(/motor_torque)
20260821_164141,45,1.9,50.1,50.1,49.8,21.71,9.6,29.4,7.76,3.20,4.56,,1047,0,eff(/joint_states)
20260821_164405,112,1.9,50.0,50.1,49.6,17.57,1.46,27.3,3.54,1.40,2.14,,,0,eff(/joint_states)
20260821_164603,1468,40.1,50.1,50.1,49.3,18.94,3.07,32.0,124.03,73.56,50.47,1.835,946,440,eff(/joint_states)
20260821_171038,74,3.3,50.1,50.1,49.7,14.94,3.26,30.4,5.58,2.83,2.74,,728,0,eff(/joint_states)
20260821_171159,2583,0.0,50.1,50.1,48.1,21.02,3.31,32.9,187.52,98.35,89.17,,1047,580,eff(/joint_states)
20260821_181022,3562,2.1,49.6,50.0,49.1,9.19,0.1,25.9,5.15,0.32,4.83,,,0,eff(/joint_states)
20260824_153821,198,0.0,49.6,49.6,49.6,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260824_154142,33,0.0,49.6,49.6,49.6,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260824_154320,1108,0.4,49.6,49.6,48.7,18.98,0.55,32.2,9.35,1.03,8.32,,,0,eff(/joint_states)
20260824_170853,678,16.6,49.6,49.6,48.6,15.13,2.29,33.3,33.99,14.96,19.03,0.901,748,0,eff(/joint_states)
20260824_172026,827,43.1,49.6,49.6,48.4,16.47,6.21,29.8,103.13,52.44,50.69,1.217,814,0,eff(/joint_states)
20260824_173427,606,41.2,49.6,49.5,48.7,15.26,7.42,30.2,82.12,39.86,42.26,0.967,755,147,eff(/joint_states)
20260824_174444,480,22.4,49.6,49.6,49.0,15.19,5.39,31.5,53.53,27.91,25.61,1.246,750,65,eff(/joint_states)
20260824_175248,3431,152.7,49.6,49.6,48.3,18.55,5.21,33.3,424.38,249.35,175.03,1.633,914,610,eff(/joint_states)
20260824_185010,373,20.6,49.6,49.5,48.7,13.23,6.76,28.4,46.21,23.75,22.47,1.153,653,0,eff(/joint_states)
20260824_185634,594,27.6,49.5,49.5,48.5,17.87,6.75,29.9,86.99,51.92,35.06,1.881,882,244,eff(/joint_states)
20260826_103839,564,0.0,50.1,50.1,50.1,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260826_110604,1117,30.0,50.1,50.1,49.3,16.39,3.2,29.7,87.46,47.08,40.38,1.569,819,212,eff(/joint_states)
20260826_112447,66,2.2,50.1,50.1,49.8,14.55,3.87,28.3,5.65,2.89,2.76,,742,0,eff(/joint_states)
20260826_112600,253,8.1,50.1,50.1,49.6,18.64,4.21,32.4,24.62,12.74,11.88,1.572,936,0,eff(/joint_states)
20260826_113021,148,12.6,50.1,50.1,49.3,15.26,6.58,29.5,19.83,11.24,8.60,0.892,763,0,eff(/joint_states)
20260826_113255,747,13.8,50.1,50.0,49.1,14.66,4.29,33.1,51.24,9.50,41.74,0.689,728,0,eff(/joint_states)
20260826_114530,67,6.8,50.0,50.0,49.3,16.2,11.55,32.8,13.34,8.99,4.34,1.323,809,0,eff(/joint_states)
20260826_114644,46,3.8,50.0,50.0,49.7,13.1,11.84,27.7,7.83,3.68,4.14,,663,0,eff(/joint_states)
20260826_114737,6139,97.3,50.0,50.1,49.0,16.91,3.37,31.5,385.25,154.12,231.13,1.584,843,1097,eff(/joint_states)
20260826_133029,44,4.1,50.1,50.1,50.0,0.0,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260826_133122,1386,51.0,50.1,50.1,48.8,19.0,8.08,33.0,207.35,90.45,116.90,1.773,944,863,eff(/joint_states)
20260826_135439,1443,50.2,50.1,50.1,48.9,17.52,4.85,32.3,159.55,86.48,73.08,1.723,872,374,eff(/joint_states)
20260826_145325,1037,27.0,50.1,50.1,48.7,17.17,4.77,31.9,98.00,40.64,57.37,1.505,856,121,eff(/joint_states)
20260826_151048,136,5.6,50.1,50.1,49.0,23.67,10.39,29.8,26.88,12.99,13.89,2.320,1169,21,eff(/joint_states)
20260826_151313,2574,95.6,50.1,50.1,48.9,18.39,3.59,33.2,261.46,166.01,95.44,1.737,915,613,eff(/joint_states)
20260826_155618,656,19.9,50.1,50.1,49.0,17.93,6.98,32.5,76.83,31.96,44.87,1.606,892,405,eff(/joint_states)
20260826_161420,1880,9.3,50.1,50.1,49.3,11.13,1.52,27.2,46.98,9.09,37.90,0.977,554,42,eff(/joint_states)
20260826_164614,795,38.3,50.1,50.0,49.2,11.64,6.79,29.2,92.29,41.74,50.55,1.090,580,158,eff(/joint_states)
20260826_170718,306,3.8,50.0,50.0,49.6,6.11,2.57,21.0,12.17,2.17,10.00,,300,0,eff(/joint_states)
20260826_171234,574,19.3,50.1,50.0,49.4,10.68,6.45,28.6,57.84,16.21,41.63,0.840,531,0,eff(/joint_states)
20260826_172254,764,29.7,50.0,50.0,49.1,12.61,9.62,29.2,109.04,30.34,78.71,1.021,628,101,eff(/joint_states)
20260826_173617,1259,67.6,50.1,50.0,49.1,18.92,10.89,30.6,245.19,131.47,113.71,1.945,941,606,eff(/joint_states)
20260827_121608,2361,56.8,49.8,49.6,48.6,10.08,3.31,32.7,138.55,45.84,92.71,0.807,499,0,eff(/joint_states)
20260827_125826,608,8.3,49.7,49.6,47.9,14.67,2.09,29.1,22.20,5.53,16.67,0.666,711,0,eff(/joint_states)
20260827_130923,13459,0.0,49.6,49.6,49.6,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260827_165406,3840,4.8,49.6,49.6,48.4,18.92,0.16,32.8,12.75,4.13,8.61,,930,0,eff(/joint_states)
20260828_134254,99,0.0,49.4,49.5,49.4,,0.0,0.0,0.00,0.00,0.00,,,0,eff(/joint_states)
20260828_135400,13766,262.8,49.5,49.5,47.8,12.62,4.55,33.4,1040.67,282.86,757.82,1.076,621,0,eff(/joint_states)
20260828_174525,1038,14.2,49.4,49.4,48.6,17.61,0.65,32.8,27.30,18.85,8.46,1.327,870,0,eff(/joint_states)
20260828_181525,560,7.5,49.5,49.4,48.6,18.51,0.75,33.1,10.13,4.56,5.57,0.607,911,0,eff(/joint_states)
20260831_105743,223,12.4,49.3,49.3,48.0,18.22,6.85,30.6,30.64,15.68,14.96,1.265,896,40,eff(/joint_states)
20260831_110134,1155,46.5,49.3,49.3,48.1,21.2,7.26,33.1,172.24,88.43,83.81,1.902,1040,277,eff(/joint_states)
20260831_112123,115,2.7,49.3,49.2,47.8,18.45,9.38,33.2,17.26,5.33,11.94,,913,29,eff(/joint_states)
20260831_112404,7133,109.0,49.3,49.2,47.5,20.25,5.35,33.4,630.88,149.38,481.50,1.370,990,413,eff(/joint_states)
20260831_132329,539,2.4,49.2,48.8,47.9,24.16,5.88,31.1,47.66,6.01,41.66,,1201,273,eff(/joint_states)
20260831_133829,1687,61.7,49.2,49.1,48.1,18.87,4.88,31.7,183.29,96.60,86.69,1.566,922,153,eff(/joint_states)
20260831_142914,1439,44.8,49.0,48.7,47.9,15.68,5.85,33.1,170.49,89.94,80.54,2.008,764,255,eff(/joint_states)
20260831_145337,8116,343.2,49.0,48.6,46.8,18.29,6.6,33.3,1020.16,464.06,556.10,1.352,887,215,eff(/joint_states)
20260831_170903,299,19.5,48.6,48.6,47.2,23.57,8.94,32.8,62.54,43.12,19.42,2.211,1141,157,eff(/joint_states)
