sesi,durasi_s,jarak_m,v_awal,v_akhir,v_min,i_rata_gerak_a,i_rata_diam_a,i_maks_a,wh_total,wh_gerak,wh_diam,wh_per_m_gerak,w_rata_gerak,detik_otonom,sumber_arus
20260918_132850,295,20.9,50.1,50.1,49.6,8.12,5.45,18.5,26.67,13.21,13.46,0.632,406,186,eff(/joint_states)
20260918_133349,470,44.0,50.1,50.1,49.5,7.28,6.27,15.4,42.02,7.61,34.41,0.173,365,0,trq(/motor_torque)
20260918_134222,377,30.1,50.1,50.1,49.7,6.8,6.06,17.4,32.29,5.41,26.88,0.180,341,0,trq(/motor_torque)
20260918_134850,895,93.2,50.1,50.1,49.7,7.0,6.86,15.2,85.53,14.61,70.92,0.157,351,0,trq(/motor_torque)
20260918_140446,85,0.0,50.1,50.1,50.1,,1.61,1.7,1.91,0.00,1.91,,,0,trq(/motor_torque)
20260918_140621,424,26.4,50.1,50.1,49.8,7.81,5.33,16.8,36.30,15.62,20.68,0.592,393,227,eff(/joint_states)
20260918_141459,213,0.1,50.1,50.1,50.0,6.29,2.24,13.5,6.69,0.12,6.57,,,0,eff(/joint_states)
20260918_141940,366,21.2,50.1,50.1,49.6,9.04,7.28,27.1,40.44,17.52,22.91,0.827,451,236,eff(/joint_states)
20260918_143008,1000,0.0,50.1,50.1,50.1,,4.5,4.5,62.63,0.00,62.63,,,25,eff(/joint_states)
20260918_144653,59,0.0,50.1,50.1,50.1,,4.5,4.5,3.67,0.00,3.67,,,0,trq(/motor_torque)
20260918_145302,649,12.5,50.1,50.1,49.7,11.64,4.9,33.4,53.56,16.20,37.36,1.296,583,448,eff(/joint_states)
20260918_150814,187,0.0,50.1,50.1,50.1,,2.3,2.3,5.99,0.00,5.99,,,0,eff(/joint_states)
20260918_151126,216,15.0,50.1,50.1,49.8,8.11,4.99,19.1,19.09,10.67,8.42,0.711,404,133,eff(/joint_states)
20260918_151638,270,0.0,50.1,50.1,50.1,,6.0,6.0,22.54,0.00,22.54,,,32,eff(/joint_states)
20260918_152119,770,49.5,50.1,50.1,49.8,7.98,5.38,14.3,68.19,32.60,35.59,0.659,399,331,eff(/joint_states)
20260918_153450,339,2.1,50.1,50.1,49.5,19.69,5.83,29.4,28.22,1.12,27.09,,,0,trq(/motor_torque)
20260918_154100,364,3.8,50.1,50.1,49.9,7.7,6.51,16.4,33.30,2.23,31.07,,382,0,eff(/joint_states)
20260918_154752,48,0.0,50.1,50.1,50.1,,6.1,6.1,4.06,0.00,4.06,,,0,eff(/joint_states)
20260918_154850,447,23.3,50.1,50.1,49.8,7.31,5.7,13.6,38.52,14.30,24.22,0.614,365,142,eff(/joint_states)
20260918_160635,1021,45.8,50.1,50.1,49.7,7.13,5.65,13.1,82.26,9.60,72.66,0.210,356,0,trq(/motor_torque)
20260918_162458,594,64.7,50.1,50.0,49.7,6.97,6.93,24.7,57.16,12.22,44.95,0.189,349,0,trq(/motor_torque)
20260918_163501,893,1.5,50.1,50.1,49.3,10.44,2.43,12.1,30.72,0.69,30.03,,,0,trq(/motor_torque)
20260918_165040,322,31.0,50.1,50.1,49.8,7.2,7.74,18.1,34.28,4.75,29.54,0.153,356,0,trq(/motor_torque)
20260918_165617,2890,51.6,50.1,50.1,49.5,7.35,3.33,23.6,141.65,14.64,127.01,0.284,369,0,trq(/motor_torque)
