sesi,tanggal,baris,durasi_s,jarak_m,n_bat,bat_awal_v,bat_akhir_v,bat_min_v,bat_maks_v,bat_rata_v,i_rata_a,i_maks_a,i_rata_gerak_a,i_rata_diam_a,detik_gerak,detik_diam,p_rata_w,energi_wh,energi_gerak_wh,energi_diam_wh,detik_otonom,sumber_arus
20260916_151956,20260916,60982,1220,69.5,60976,48.10,48.10,47.40,48.20,48.03,5.38,14.00,7.09,5.27,77,1143,258.2,87.481,7.250,80.231,0,trq(/motor_torque)
20260916_165922,20260916,54450,1089,89.3,54442,48.00,48.00,47.40,48.20,47.90,5.68,13.20,7.29,5.35,186,903,271.9,82.262,18.039,64.223,0,trq(/motor_torque)
20260826_145325,20260826,51865,1037,27.0,51860,50.10,50.10,48.70,50.70,50.04,6.81,31.90,17.17,4.77,171,866,340.1,98.003,40.637,57.365,121,eff(/joint_states)
20260826_110604,20260826,55832,1117,30.0,55781,50.10,50.10,48.90,50.80,50.05,5.65,29.70,16.39,3.20,207,908,282.0,87.457,47.081,40.375,212,eff(/joint_states)
20260918_160635,20260918,51065,1021,45.8,51061,50.10,50.10,49.60,50.30,50.06,5.79,13.10,7.13,5.65,97,924,290.0,82.260,9.599,72.660,0,trq(/motor_torque)
20260918_134850,20260918,44750,895,93.2,44742,50.10,50.10,49.60,50.30,50.01,6.88,15.20,7.00,6.86,150,745,344.0,85.530,14.614,70.916,0,trq(/motor_torque)
20260821_161500,20260821,45116,902,73.0,45109,50.10,50.10,49.10,50.60,49.93,16.22,33.40,20.20,15.47,142,761,808.5,202.646,39.630,163.015,0,trq(/motor_torque)
20260828_174525,20260828,51884,1038,14.2,51883,49.40,49.40,48.10,49.80,49.37,1.93,32.80,17.61,0.65,78,959,94.7,27.304,18.849,8.455,0,eff(/joint_states)
20260914_152631,20260914,56436,1129,0.0,56435,49.30,49.30,49.30,49.40,49.30,1.17,1.20,,1.17,0,1129,57.5,18.025,0.000,18.025,0,eff(/joint_states)
20260824_154320,20260824,55400,1108,0.4,55399,49.60,49.60,48.50,49.60,49.57,0.61,32.20,18.98,0.55,4,1104,30.4,9.352,1.034,8.318,0,eff(/joint_states)
20260918_163501,20260918,44650,893,1.5,44644,50.10,50.10,49.30,50.10,50.09,2.47,12.10,10.44,2.43,5,888,123.8,30.719,0.686,30.032,0,trq(/motor_torque)
20260918_143008,20260918,50017,1000,0.0,50006,50.10,50.10,50.10,50.10,50.10,4.50,4.50,,4.50,0,1000,225.4,62.633,0.000,62.633,25,eff(/joint_states)
20260914_130632,20260914,43950,879,9.9,43945,49.30,49.30,48.80,49.60,49.34,3.31,13.20,6.77,3.02,67,812,163.1,39.834,6.250,33.584,17,eff(/joint_states)
20260918_152119,20260918,38516,770,49.5,38507,50.10,50.10,49.60,50.40,50.04,6.37,14.30,7.98,5.38,294,476,318.7,68.189,32.604,35.585,331,eff(/joint_states)
20260826_164614,20260826,39750,795,38.3,39747,50.10,50.00,49.00,50.50,49.98,8.37,29.20,11.64,6.79,259,536,417.9,92.291,41.745,50.546,158,eff(/joint_states)
20260821_155556,20260821,42232,845,25.2,42229,50.10,50.10,49.20,50.70,50.03,11.69,30.10,18.50,10.29,144,700,584.4,137.098,36.935,100.164,199,eff(/joint_states)
20260826_172254,20260826,38177,764,29.7,38173,50.00,49.20,48.50,50.60,49.95,10.30,29.20,12.61,9.62,174,590,514.2,109.044,30.338,78.706,101,eff(/joint_states)
20260821_151350,20260821,36915,738,19.8,36914,50.10,50.10,49.30,50.80,50.04,7.26,32.00,19.34,3.65,170,568,362.5,74.334,45.607,28.726,219,eff(/joint_states)
20260824_172026,20260824,41367,827,43.1,41329,49.60,49.60,48.10,49.80,49.51,9.09,29.80,16.47,6.21,232,594,448.8,103.130,52.436,50.694,0,eff(/joint_states)
