sesi,tanggal,baris,durasi_s,jarak_m,n_bat,bat_awal_v,bat_akhir_v,bat_min_v,bat_maks_v,bat_rata_v,i_rata_a,i_maks_a,i_rata_gerak_a,i_rata_diam_a,detik_gerak,detik_diam,p_rata_w,energi_wh,energi_gerak_wh,energi_diam_wh,detik_otonom,sumber_arus
20260826_114530,20260826,3368,67,6.8,3363,50.10,50.10,49.20,50.40,49.89,14.33,32.80,16.20,11.55,40,27,713.1,13.336,8.993,4.344,0,eff(/joint_states)
20260821_171038,20260821,3718,74,3.3,3710,50.10,50.10,48.90,50.20,50.05,5.41,30.40,14.94,3.26,14,61,270.1,5.576,2.833,2.743,0,eff(/joint_states)
20260826_112447,20260826,3286,66,2.2,3285,50.10,50.10,49.60,50.20,50.05,6.19,28.30,14.55,3.87,14,51,309.3,5.646,2.887,2.759,0,eff(/joint_states)
20260918_132741,20260918,3020,60,0.0,3010,50.10,50.10,50.00,50.20,50.10,2.10,2.10,,2.10,0,60,104.9,1.759,0.000,1.759,0,eff(/joint_states)
20260828_133928,20260828,9050,181,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260824_153332,20260824,9891,198,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260914_135201,20260914,8000,160,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260821_163010,20260821,2700,54,1.3,2699,50.00,50.00,49.50,50.20,50.00,13.04,32.00,19.23,11.92,8,46,651.8,9.769,2.211,7.558,0,eff(/joint_states)
20260826_114644,20260826,2284,46,3.8,2276,50.00,50.10,49.70,50.10,49.95,12.40,27.70,13.10,11.84,20,25,617.2,7.826,3.682,4.143,0,eff(/joint_states)
20260918_144653,20260918,2942,59,0.0,2932,50.10,50.10,50.10,50.10,50.10,4.50,4.50,,4.50,0,59,224.8,3.672,0.000,3.672,0,trq(/motor_torque)
20260918_154752,20260918,2400,48,0.0,2393,50.10,50.10,50.10,50.10,50.10,6.10,6.10,,6.10,0,48,304.9,4.063,0.000,4.063,0,eff(/joint_states)
20260821_164141,20260821,2250,45,1.9,2241,50.10,50.10,49.30,50.10,50.01,12.48,29.40,21.71,9.60,11,34,620.9,7.760,3.200,4.560,0,eff(/joint_states)
20260915_182945,20260915,1900,38,0.2,1894,48.80,48.80,48.60,48.90,48.79,3.65,8.80,7.02,3.62,0,38,177.7,1.875,0.029,1.847,0,trq(/motor_torque)
20260914_132122,20260914,2069,41,0.0,2034,49.40,49.30,49.30,49.40,49.36,5.29,5.40,,5.29,0,41,257.1,2.953,0.000,2.953,0,eff(/joint_states)
20260831_133601,20260831,6800,136,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260915_152510,20260915,2272,45,0.0,2265,49.00,49.00,49.00,49.10,49.03,0.00,0.00,,0.00,0,45,,0.000,0.000,0.000,0,eff(/joint_states)
20260916_133415,20260916,3121,62,0.0,1591,48.50,48.40,48.40,48.50,48.41,0.00,0.00,,0.00,0,32,,0.000,0.000,0.000,0,trq(/motor_torque)
20260821_161233,20260821,1200,24,0.4,1197,50.10,50.10,49.70,50.10,50.06,5.28,25.70,9.42,5.17,1,23,263.7,1.756,0.081,1.675,0,trq(/motor_torque)
20260821_134640,20260821,2772,55,0.0,1374,49.70,50.10,49.70,50.40,50.10,0.00,0.00,,0.00,0,28,,0.000,0.000,0.000,0,eff(/joint_states)
20260826_133029,20260826,2200,44,4.1,1007,21.50,50.10,21.50,50.30,45.53,0.00,0.00,0.00,0.00,0,20,,0.000,0.000,0.000,0,eff(/joint_states)
20260916_120020,20260916,1400,28,0.0,1392,48.40,48.40,48.40,48.50,48.41,0.00,0.00,,0.00,0,28,,0.000,0.000,0.000,0,eff(/joint_states)
20260821_153711,20260821,1390,28,0.0,1345,50.10,50.10,50.00,50.10,50.10,0.00,0.00,,0.00,0,27,,0.000,0.000,0.000,0,eff(/joint_states)
20260923_140151,20260923,2450,49,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260923_140246,20260923,2200,44,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260914_133302,20260914,519,10,0.0,518,49.30,49.30,49.30,49.40,49.30,4.40,4.40,,4.40,0,10,216.9,0.624,0.000,0.624,0,eff(/joint_states)
20260915_182921,20260915,950,19,0.3,944,48.80,48.80,48.60,48.80,48.78,4.53,9.30,6.62,3.97,4,15,219.8,1.159,0.359,0.800,0,trq(/motor_torque)
20260824_154142,20260824,1639,33,0.0,1637,49.60,49.60,49.60,49.60,49.60,0.00,0.00,,0.00,0,33,,0.000,0.000,0.000,0,eff(/joint_states)
20260918_162347,20260918,1300,26,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260914_133556,20260914,400,8,0.0,392,49.30,49.40,49.30,49.40,49.32,6.50,6.50,,6.50,0,8,315.3,0.698,0.000,0.698,0,eff(/joint_states)
20260821_161313,20260821,421,8,0.0,417,50.10,50.10,50.10,50.10,50.10,0.00,0.00,,0.00,0,8,,0.000,0.000,0.000,0,eff(/joint_states)
20260918_141902,20260918,370,7,0.0,365,50.10,50.10,50.10,50.10,50.10,3.10,3.10,,3.10,0,7,153.6,0.315,0.000,0.315,0,eff(/joint_states)
20260914_133533,20260914,286,6,0.0,267,49.30,49.30,49.30,49.40,49.31,6.50,6.50,,6.50,0,5,300.7,0.475,0.000,0.475,0,eff(/joint_states)
20260914_132624,20260914,300,6,0.0,288,49.30,49.30,49.30,49.40,49.35,3.60,3.60,,3.60,0,6,171.1,0.284,0.000,0.284,0,eff(/joint_states)
20260821_133944,20260821,901,18,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260914_141513,20260914,270,5,0.0,264,49.30,49.30,49.30,49.40,49.31,1.30,1.30,,1.30,0,5,63.0,0.094,0.000,0.094,0,eff(/joint_states)
20260918_141836,20260918,900,18,0.0,0,,,,,,,0.00,,,0,0,,0.000,0.000,0.000,0,
20260821_161449,20260821,300,6,0.0,299,50.10,50.10,50.00,50.10,50.10,0.00,0.00,,0.00,0,6,,0.000,0.000,0.000,0,eff(/joint_states)
20260821_161305,20260821,22,0,0.0,15,50.10,50.10,50.10,50.10,50.10,0.00,0.00,,0.00,0,0,,0.000,0.000,0.000,0,eff(/joint_states)
20260914_133543,20260914,250,5,0.0,238,49.30,49.30,49.30,49.40,49.31,6.50,6.50,,6.50,0,5,306.4,0.424,0.000,0.424,0,trq(/motor_torque)
